iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
51,5.1,14158.988404074877,97834.27795607482,16406.919519999992,,,
52,5.2,14158.988404074877,99474.96990807496,16406.919519999992,,,
53,5.3,14158.988404074875,101115.66186007496,16406.919519999992,,,
54,5.4,14158.988404074875,102756.35381207489,16406.919519999992,,,
55,5.5,14160.433665399303,104396.85026539925,16406.621199999994,,,
56,5.6,14160.433665399303,106037.51238539923,16406.621199999994,,,
57,5.7,14173.375560992787,107686.75077099272,16405.855299999996,,,
58,5.8,14173.375560992785,109327.33630099273,16405.855299999996,,,
59,5.9,14173.375560992785,110967.92183099278,16405.855299999996,,,
60,6,14173.375560992785,112608.50736099281,16405.855299999996,,,
61,6.1,14176.653332274665,114243.23902327471,16404.358309999992,,,
62,6.2,14176.653332274664,115883.67485427474,16404.358309999992,,,
63,6.3,14209.708803379715,117547.44018503338,16402.814505024387,,,
64,6.4,14239.218807684592,119207.88403113453,16401.35394116405,,,
65,6.5,14305.728878760492,120894.41833350567,16398.25991611464,,,
66,6.6,14315.539738211486,122541.26618221156,16397.83734,,,
67,6.7,14258.382384093497,124147.32351550748,16401.33449722595,,,
68,6.8,14316.28410613183,125820.1171741319,16397.622509999994,,,
69,6.9,14316.28410613183,127459.87942513177,16397.622509999994,,,
70,7,14298.790531809225,129085.48745180928,16398.099559999995,,,
71,7.1,14298.790531809225,130725.2974078092,16398.099559999995,,,
72,7.2,14316.28410613183,132379.16617813188,16397.622509999994,,,
73,7.3,14316.28410613183,134018.9284291318,16397.622509999994,,,
74,7.4,14400.444863514185,135724.56481074242,16395.151344220012,,,
75,7.5,14419.64007475584,137379.2110242591,16394.609459933756,,,
76,7.6,14429.847995500118,139026.71320750017,16394.32436999999,,,
77,7.7,14429.847995500118,140666.1456445001,16394.32436999999,,,
78,7.8,14429.847995500118,142305.57808150005,16394.32436999999,,,
79,7.9,14421.31650934978,143924.47893234983,16392.805369999995,,,
80,8,14421.316509349781,145563.75946934966,16392.805369999995,,,
81,8.1,14421.31650934978,147203.0400063497,16392.805369999995,,,
82,8.2,14421.316509349777,148842.32054334963,16392.805369999995,,,
83,8.3,14421.316509349777,150481.60108034982,16392.805369999995,,,
84,8.4,14421.316509349777,152120.88161734978,16392.805369999995,,,
85,8.5,14421.31650934978,153760.1621543499,16392.805369999995,,,
86,8.6,14421.31650934978,155399.44269134983,16392.805369999995,,,
87,8.7,14421.316509349777,157038.7232283498,16392.805369999995,,,
88,8.8,14421.316509349777,158678.0037653497,16392.805369999995,,,
89,8.9,14421.316509349777,160317.28430234984,16392.805369999995,,,
90,9,14421.316509349777,161956.56483934986,16392.805369999995,,,
91,9.1,14421.316509349777,163595.84537634984,16392.805369999995,,,
92,9.2,14421.316509349777,165235.1259133497,16392.805369999995,,,
93,9.3,14421.316509349777,166874.40645034992,16392.805369999995,,,
94,9.4,14421.316509349777,168513.68698734976,16392.805369999995,,,
95,9.5,14421.316509349777,170152.96752434966,16392.805369999995,,,
