iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
33,33,1247231.8286011717,27717876.24467395,802140.7398809924,,,
34,34,1244152.9827053433,28518974.333341733,802200.6279598923,,,
35,35,1267600.4542814128,29341048.907651693,802098.5272391514,,,
36,36,1249128.9171230046,30129945.87382487,802244.9154639428,,,
37,37,1260191.4007264406,30941548.555821676,802198.8420296,,,
38,38,1276121.0274117056,31753056.454291932,802024.6164968488,,,
39,39,1282538.339048153,32564558.548196897,802103.0822858667,,,
40,40,1283800.3727918887,33369398.21164353,802139.9459712916,,,
41,41,1308944.6950117815,34187186.29901716,801908.3318050065,,,
42,42,1301134.787167108,34985289.0533271,802003.6730038113,,,
43,43,1350331.3562465552,35820208.985371105,801625.061142431,,,
44,44,1316360.5285992401,36594448.71959632,801774.7316135688,,,
45,45,1315877.4477520443,37398278.54206501,801831.135429176,,,
46,46,1315438.6284437324,38198705.26507915,801810.1442746846,,,
47,47,1323751.4528096665,39004427.94711933,801716.5211555255,,,
48,48,1332078.9267403528,39818704.022245295,801804.6894896878,,,
49,49,1345088.4796956705,40625948.09221174,801650.1961737989,,,
50,50,1352068.9641618112,41433077.38707161,801620.168458194,,,
51,51,1363503.654419063,42244744.44401049,801592.9566586543,,,
52,52,1370156.1070043673,43045255.272695236,801444.2147248235,,,
53,53,1460383.8912408839,43916526.76209053,801059.2994499939,,,
54,54,1383591.617616236,44670562.549676985,801610.5728159373,,,
55,55,1395939.5328586355,45470952.35444883,801363.8694834609,,,
56,56,1381405.7273487186,46263831.067696445,801471.8810776391,,,
57,57,1391785.313373442,47074462.67343445,801450.4800010715,,,
58,58,1432719.293233903,47898157.59533611,801128.2465879697,,,
59,59,1422396.162322966,48698675.05401696,801292.8625710834,,,
60,60,1422435.2187506224,49507233.21648029,801413.2999621609,,,
61,61,1452614.239668134,50323959.281311885,801169.5908466211,,,
62,62,1398147.2321408922,51082680.89309442,801363.4461444111,,,
63,63,1412450.383028153,51895459.869147845,801317.6108907931,,,
64,64,1478909.453604341,52748308.384111635,801084.3582891781,,,
65,65,1428199.7134471673,53513355.9438141,801310.0958518011,,,
66,66,1458575.3493992942,54337722.466640756,801199.1987460823,,,
67,67,1464514.7325572758,55143954.283000745,801185.664931991,,,
68,68,1479423.275917814,55955829.3061965,801123.6180923373,,,
69,69,1483531.9070193807,56762192.00662943,801140.0014436239,,,
70,70,1500733.4878011234,57574936.30462654,801060.0402403657,,,
71,71,1554662.9006740088,58425638.61613593,800999.65796425,,,
72,72,1496067.383109068,59168763.467612594,801009.6678403256,,,
73,73,1465746.2028875684,59948410.27459711,801132.3845439674,,,
74,74,1479052.9939052472,60766860.860519625,801186.5927920836,,,
75,75,1590257.6025154819,61649872.90504273,800794.8707003623,,,
76,76,1601613.1131400247,62460716.28712659,800777.6733419265,,,
77,77,1497165.4283246805,63182922.34567921,801113.7261994084,,,
78,78,1541224.3354455656,64019613.554476924,801004.9899875803,,,
79,79,1580013.9254916746,64853036.505924635,800924.3364611752,,,
80,80,1587086.2912231616,65659625.92908269,800906.7454732434,,,
81,81,1492788.4973726342,66387256.83315844,801166.2757504425,,,
82,82,1501745.0064679016,67208798.05081926,801305.5249311135,,,
83,83,1588994.9278163742,68059003.80978468,800843.4805056407,,,
84,84,1567017.4736601273,68837499.6976058,800839.07409459,,,
85,85,1535624.0094824582,69616362.77316296,800949.8678080061,,,
86,86,1513974.307325862,70410842.70956843,801126.3767702634,,,
87,87,1518512.257038302,71215377.00331235,801113.3878882077,,,
88,88,1553421.282728752,72030293.59607354,800873.549015282,,,
89,89,1540537.3731690238,72821304.62546247,800907.4972167785,,,
90,90,1557277.3521859287,73633279.967267,800844.4735009017,,,
91,91,1515469.981758098,74413487.51117545,801077.1157078831,,,
92,92,1538979.8694191854,75238612.69714408,801082.9655187475,,,
93,93,1587773.0618893625,76065763.61680788,800838.6081174052,,,
94,94,1533537.0283716428,76836431.08872052,801094.617663286,,,
95,95,1517281.310574432,77624999.65798774,801133.8773411936,,,
96,96,1515091.8068584357,78429960.34464203,801196.5472685802,,,
97,97,1515773.6093868127,79231531.8733295,801193.3841643574,,,
98,98,1527502.104156064,80043245.70286714,801181.0571297049,,,
