iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
49,4.9,358385.9988425665,422794.40275173454,647777.5469978773,111103.98055298888,13144.572226361022,-0
50,5,358332.61411183537,424055.77925249294,647798.2364081505,111085.80121000117,13144.6330281316,-0
51,5.1,358403.5360773474,425441.8940931218,647837.8659095461,111106.877814738,13144.776081524515,-0
52,5.2,358399.4201732587,426749.88378373825,647879.6276463789,111091.95606263429,13144.31992509236,-0
53,5.3,358410.789051553,428075.4393817314,647870.6757101248,111099.18264860737,13144.273647203685,-0
54,5.4,358376.01087613625,429354.3249058133,647866.5486836144,111075.03991082635,13144.132227718526,-0
55,5.5,358357.3152566645,430650.2431209663,647854.3933959809,111077.90884958813,13144.168702600513,-0
56,5.6,358456.82080138405,432064.2304673573,647923.903407554,111092.42794334298,13144.180297495428,-0
57,5.7,358567.3969031541,433491.6258610347,647888.7023221685,111075.44812610907,13144.601571558278,-0
58,5.8,358442.1681941605,434679.889127909,647953.8042725634,111081.80967403336,13144.434643749844,-0
59,5.9,358444.7755010456,435998.68618536176,647925.4240608581,111102.92884074443,13144.730624460739,-0
60,6,358452.2531658372,437319.0573699886,647954.7915072626,111111.96404852495,13144.46736735879,-0
61,6.1,358517.1493291745,438700.0511251385,647966.9761987623,111082.87903111974,13144.737999338615,-0
62,6.2,358512.50925190287,440008.55803983146,648007.9672963239,111085.85737766456,13144.523998052988,-0
63,6.3,358429.62435748585,441241.79392011365,647985.3819700085,111092.9708882198,13144.788819464788,-0
