iteration,price,total_travel_time,total_user_cost,total_consumption,total_consumption_inside,total_entrances,total_permit_flow
70,7,1437290.2679945861,11992707.352678498,1507916.7263834176,,,
71,7.1,1437469.1149499665,12143543.382815633,1507897.7842064325,,,
72,7.2,1437781.0270448092,12294220.161867624,1507838.7687253915,,,
73,7.3,1438203.6802956911,12445008.968786018,1507781.5463685421,,,
74,7.4,1438599.793135799,12595730.788228134,1507720.4047422076,,,
75,7.5,1438989.2274654582,12746466.844952885,1507663.6823316556,,,
76,7.6,1439623.8531898153,12897241.471620433,1507581.26558298,,,
77,7.7,1440094.3303530116,13047941.328549251,1507512.5971683424,,,
78,7.8,1440835.574210759,13198734.94057774,1507422.9956880715,,,
79,7.9,1441603.8519275798,13349552.099643348,1507335.2212298464,,,
80,8,1442449.0752497711,13500315.77896502,1507233.337964406,,,
81,8.1,1443406.031727854,13651193.394795474,1507134.2423540272,,,
82,8.2,1444276.9147784335,13802097.810311679,1507051.3287235682,,,
83,8.3,1445322.6557473803,13952936.582895616,1506941.4370058107,,,
84,8.4,1446278.1420056175,14103924.070169825,1506862.6104957415,,,
85,8.5,1447113.5088882777,14254804.235095974,1506787.144259733,,,
86,8.6,1447894.0548288485,14405754.143985173,1506727.9173437594,,,
87,8.7,1448998.6306501185,14556686.6881851,1506630.8112109157,,,
88,8.8,1450326.3116942297,14707508.968133511,1506498.029140826,,,
89,8.9,1450555.5358050992,14858115.329933418,1506467.3925986893,,,
90,9,1450794.899000457,15008857.683950998,1506451.42055006,,,
